"order_line_id","company_id","order_id","order_item","order_number_reference","order_item_reference","order_placement_date","order_delivery_date","bill_dates","order_status","is_order_completed","sold_to_id","ship_to_id","industry","focus_industry","brenntag_bu","pps_industry","product_div_old","product_div","material_id","global_product","primary_account_manager","secondary_account_manager","plant","order_cycle_id","quantity","bill_quantity","quantity_unit","revenue","bill_revenue","local_currency","revenue_local","bill_revenue_local","margin","contribution_margin","sell_price_unit","sell_price_unit_local","margin_local","contribution_margin_local","margin_percentage","margin_benchmark","contribution_margin_percentage","contribution_margin_benchmark","region"
"0003731024_000030_E5:4147","E5:4147","0003731024","000030","0003731024","000030","2025-05-12","2025-05-13","[2025-05-13]","Completed","true","E5:0000166730","E5:0000166730","CASE","Material Science","MS","CC00","BES","BES","E5:000000000012638601","MDA000009080","E5:K010",,"E5:KE01","E5:0000166730_MDA000009080_2025-05-12_E5:4147","35.0000","35.0000","KG","21.6600","21.6600","KES","3150.0000","3150.0000","5.7800","0.0000","0.6189","90.0000","840.7900","0.0000","0.2669","0.2363","0.0000","0.0000","EMEA"
"0003754411_000030_E5:4147","E5:4147","0003754411","000030","0003754411","000030","2025-06-18","2025-06-18","[2025-06-18]","Completed","true","E5:0000161923","E5:0000161923","CASE","Material Science","MS","CC00","BES","BES","E5:000000000012638601","MDA000009080","E5:K012",,"E5:KE01","E5:0000161923_MDA000009080_2025-06-18_E5:4147","35.0000","35.0000","KG","20.0100","20.0100","KES","2975.0000","2975.0000","4.4800","0.0000","0.5717","85.0000","665.7900","0.0000","0.2239","0.2564","0.0000","0.0000","EMEA"
"0003759622_000010_E5:4147","E5:4147","0003759622","000010","0003759622","000010","2025-06-26","2025-06-26","[2025-06-26]","Completed","true","E5:0000193469","E5:0000193469","CASE","Material Science","MS","CC00","BES","BES","E5:000000000012638601","MDA000009080","E5:K001",,"E5:KE01","E5:0000193469_MDA000009080_2025-06-26_E5:4147","35.0000","35.0000","KG","20.0100","20.0100","KES","2975.0000","2975.0000","4.4800","0.0000","0.5717","85.0000","665.7900","0.0000","0.2239","0.2558","0.0000","0.0000","EMEA"
"0003769678_000040_E5:4147","E5:4147","0003769678","000040","0003769678","000040","2025-07-11","2025-07-11","[2025-07-11]","Completed","true","E5:0000160751","E5:0000160751","CASE","Material Science","MS","CC00","BES","BES","E5:000000000012638601","MDA000009080","E5:K010",,"E5:KE01","E5:0000160751_MDA000009080_2025-07-11_E5:4147","35.0000","35.0000","KG","23.2500","23.2500","KES","3500.0000","3500.0000","7.9100","0.0000","0.6643","100.0000","1190.7900","0.0000","0.3402","0.2590","0.0000","0.0000","EMEA"
"0003769479_000010_E5:4147","E5:4147","0003769479","000010","0003769479","000010","2025-07-11","2025-07-11","[2025-07-11]","Completed","true","E5:0000163145","E5:0000163145","CASE","Material Science","MS","CC00","BES","BES","E5:000000000012638601","MDA000009080","E5:K010",,"E5:KE01","E5:0000163145_MDA000009080_2025-07-11_E5:4147","35.0000","35.0000","KG","19.7600","19.7600","KES","2975.0000","2975.0000","4.4200","0.0000","0.5646","85.0000","665.7900","0.0000","0.2237","0.2604","0.0000","0.0000","EMEA"
"0003782569_000020_E5:4147","E5:4147","0003782569","000020","0003782569","000020","2025-08-01","2025-08-04","[2025-08-04]","Completed","true","E5:0000160927","E5:0000160927","CASE","Material Science","MS","CC00","BES","BES","E5:000000000012638601","MDA000009080","E5:K018",,"E5:KE01","E5:0000160927_MDA000009080_2025-08-01_E5:4147","35.0000","35.0000","KG","21.3800","20.9600","KES","3150.0000","3150.0000","5.6000","0.0000","0.5989","90.0000","840.7900","0.0000","0.2672","0.2638","0.0000","0.0000","EMEA"
"0003787189_000030_E5:4147","E5:4147","0003787189","000030","0003787189","000030","2025-08-11","2025-08-11","[2025-08-11]","Completed","true","E5:0000173060","E5:0000173060","CASE","Material Science","MS","CC00","BES","BES","E5:000000000012638601","MDA000009080","E5:K010",,"E5:KE01","E5:0000173060_MDA000009080_2025-08-11_E5:4147","35.0000","35.0000","KG","20.1900","19.8000","KES","2975.0000","2975.0000","4.4300","0.0000","0.5657","85.0000","665.7900","0.0000","0.2237","0.2651","0.0000","0.0000","EMEA"
"0003790306_000010_E5:4147","E5:4147","0003790306","000010","0003790306","000010","2025-08-15","2025-08-18","[2025-08-18]","Completed","true","E5:0000161044","E5:0000161044","CASE","Material Science","MS","CC00","BES","BES","E5:000000000012638601","MDA000009080","E5:K018",,"E5:KE01","E5:0000161044_MDA000009080_2025-08-15_E5:4147","35.0000","35.0000","KG","20.1900","19.8000","KES","2975.0000","2975.0000","4.4300","0.0000","0.5657","85.0000","665.7900","0.0000","0.2237","0.2646","0.0000","0.0000","EMEA"
"0002309242_000060_E5:4147","E5:4147","0002309242","000060","0002309242","000060","2019-07-30","2019-07-30","[2019-07-30]","Completed","true","E5:0000163901","E5:0000163901","CASE","Material Science","MS","CC00","BES","BES","E5:000000000012638601","MDA000009080","E5:K012",,"E5:KE01","E5:0000163901_MDA000009080_2019-07-30_E5:4147","35.0000","35.0000","KG","21.7800","21.7800","KES","2520.0000","2520.0000","4.9100","0.0000","0.6223","72.0000","568.4000","0.0000","0.2254","0.2641","0.0000","0.0000","EMEA"
"0003736497_000020_E5:4147","E5:4147","0003736497","000020","0003736497","000020","2025-05-19","2025-05-20","[2025-05-20]","Completed","true","E5:0000203163","E5:0000203163","CASE","Material Science","MS","CC00","BES","BES","E5:000000000012638601","MDA000009080","E5:K010",,"E5:KE01","E5:0000203163_MDA000009080_2025-05-19_E5:4147","35.0000","35.0000","KG","21.6600","21.6600","KES","3150.0000","3150.0000","5.7800","0.0000","0.6189","90.0000","840.7900","0.0000","0.2669","0.2402","0.0000","0.0000","EMEA"
"0003736692_000020_E5:4147","E5:4147","0003736692","000020","0003736692","000020","2025-05-20","2025-05-21","[2025-05-21]","Completed","true","E5:0000166730","E5:0000166730","CASE","Material Science","MS","CC00","BES","BES","E5:000000000012638601","MDA000009080","E5:K010",,"E5:KE01","E5:0000166730_MDA000009080_2025-05-20_E5:4147","35.0000","35.0000","KG","21.6600","21.6600","KES","3150.0000","3150.0000","5.7800","0.0000","0.6189","90.0000","840.7900","0.0000","0.2669","0.2442","0.0000","0.0000","EMEA"
"0003743734_000070_E5:4147","E5:4147","0003743734","000070","0003743734","000070","2025-05-30","2025-06-05","[2025-06-05]","Completed","true","E5:0000161032","E5:0000161032","CASE","Material Science","MS","CC00","BES","BES","E5:000000000012638601","MDA000009080","E5:K010",,"E5:KE01","E5:0000161032_MDA000009080_2025-05-30_E5:4147","35.0000","35.0000","KG","24.0600","23.5400","KES","3500.0000","3500.0000","8.0100","0.0000","0.6726","100.0000","1190.7900","0.0000","0.3403","0.2491","0.0000","0.0000","EMEA"
"0003750355_000020_E5:4147","E5:4147","0003750355","000020","0003750355","000020","2025-06-11","2025-06-12","[2025-06-12]","Completed","true","E5:0000160751","E5:0000160751","CASE","Material Science","MS","CC00","BES","BES","E5:000000000012638601","MDA000009080","E5:K010",,"E5:KE01","E5:0000160751_MDA000009080_2025-06-11_E5:4147","35.0000","35.0000","KG","23.5400","23.5400","KES","3500.0000","3500.0000","8.0100","0.0000","0.6726","100.0000","1190.7900","0.0000","0.3403","0.2541","0.0000","0.0000","EMEA"
"0003751939_000030_E5:4147","E5:4147","0003751939","000030","0003751939","000030","2025-06-13","2025-06-13","[2025-06-13]","Completed","true","E5:0000203163","E5:0000203163","CASE","Material Science","MS","CC00","BES","BES","E5:000000000012638601","MDA000009080","E5:K010",,"E5:KE01","E5:0000203163_MDA000009080_2025-06-13_E5:4147","35.0000","35.0000","KG","20.0100","20.0100","KES","2975.0000","2975.0000","4.4800","0.0000","0.5717","85.0000","665.7900","0.0000","0.2239","0.2535","0.0000","0.0000","EMEA"
"0003754455_000010_E5:4147","E5:4147","0003754455","000010","0003754455","000010","2025-06-18","2025-06-18","[2025-06-18]","Completed","true","E5:0000166730","E5:0000166730","CASE","Material Science","MS","CC00","BES","BES","E5:000000000012638601","MDA000009080","E5:K010",,"E5:KE01","E5:0000166730_MDA000009080_2025-06-18_E5:4147","35.0000","35.0000","KG","21.1800","21.1800","KES","3150.0000","3150.0000","5.6500","0.0000","0.6051","90.0000","840.7900","0.0000","0.2668","0.2550","0.0000","0.0000","EMEA"
"0002308787_000050_E5:4147","E5:4147","0002308787","000050","0002308787","000050","2019-07-30","2019-07-30","[2019-07-30]","Completed","true","E5:0000162760","E5:0000162760","CASE","Material Science","MS","CC00","BES","BES","E5:000000000012638601","MDA000009080","E5:K018",,"E5:KE01","E5:0000162760_MDA000009080_2019-07-30_E5:4147","35.0000","35.0000","KG","21.1800","21.1800","KES","2450.0000","2450.0000","4.3100","0.0000","0.6051","70.0000","498.4000","0.0000","0.2035","0.2625","0.0000","0.0000","EMEA"
"0002309925_000050_E5:4147","E5:4147","0002309925","000050","0002309925","000050","2019-07-31","2019-07-31","[2019-07-31]","Completed","true","E5:0000166730","E5:0000166730","CASE","Material Science","MS","CC00","BES","BES","E5:000000000012638601","MDA000009080","E5:K010",,"E5:KE01","E5:0000166730_MDA000009080_2019-07-31_E5:4147","35.0000","35.0000","KG","21.7800","21.7800","KES","2520.0000","2520.0000","4.9100","0.0000","0.6223","72.0000","568.4000","0.0000","0.2254","0.2640","0.0000","0.0000","EMEA"
"0002310408_000060_E5:4147","E5:4147","0002310408","000060","0002310408","000060","2019-08-01","2019-08-20","[2019-08-20]","Completed","true","E5:0000160708","E5:0000160708","CASE","Material Science","MS","CC00","BES","BES","E5:000000000012638601","MDA000009080","E5:K010",,"E5:KE01","E5:0000160708_MDA000009080_2019-08-01_E5:4147","35.0000","35.0000","KG","22.5000","22.5000","KES","2583.8300","2583.8300","5.5100","0.0000","0.6429","73.8237","632.2300","0.0000","0.2449","0.2663","0.0000","0.0000","EMEA"
"0002312522_000020_E5:4147","E5:4147","0002312522","000020","0002312522","000020","2019-08-05","2019-08-05","[2019-08-05]","Completed","true","E5:0000166795","E5:0000166795","CASE","Material Science","MS","CC00","BES","BES","E5:000000000012638601","MDA000009080","E5:K001",,"E5:KE01","E5:0000166795_MDA000009080_2019-08-05_E5:4147","35.0000","35.0000","KG","21.9500","21.9500","KES","2520.0000","2520.0000","4.9500","0.0000","0.6271","72.0000","568.4000","0.0000","0.2255","0.2678","0.0000","0.0000","EMEA"
"0002312997_000030_E5:4147","E5:4147","0002312997","000030","0002312997","000030","2019-08-06","2019-08-06","[2019-08-06]","Completed","true","E5:0000163146","E5:0000163146","CASE","Material Science","MS","CC00","BES","BES","E5:000000000012638601","MDA000009080","E5:K010",,"E5:KE01","E5:0000163146_MDA000009080_2019-08-06_E5:4147","35.0000","35.0000","KG","21.9500","21.9500","KES","2520.0000","2520.0000","4.9500","0.0000","0.6271","72.0000","568.4000","0.0000","0.2255","0.2636","0.0000","0.0000","EMEA"
"0002314993_000040_E5:4147","E5:4147","0002314993","000040","0002314993","000040","2019-08-08","2019-08-08","[2019-08-08]","Completed","true","E5:0000160708","E5:0000160708","CASE","Material Science","MS","CC00","BES","BES","E5:000000000012638601","MDA000009080","E5:K010",,"E5:KE01","E5:0000160708_MDA000009080_2019-08-08_E5:4147","35.0000","35.0000","KG","21.9500","21.9500","KES","2520.0000","2520.0000","4.9500","0.0000","0.6271","72.0000","568.4000","0.0000","0.2255","0.2511","0.0000","0.0000","EMEA"
"0002315950_000020_E5:4147","E5:4147","0002315950","000020","0002315950","000020","2019-08-09","2019-08-09","[2019-08-09]","Completed","true","E5:0000163901","E5:0000163901","CASE","Material Science","MS","CC00","BES","BES","E5:000000000012638601","MDA000009080","E5:K012",,"E5:KE01","E5:0000163901_MDA000009080_2019-08-09_E5:4147","35.0000","35.0000","KG","21.9500","21.9500","KES","2520.0000","2520.0000","4.9500","0.0000","0.6271","72.0000","568.4000","0.0000","0.2255","0.2492","0.0000","0.0000","EMEA"
"0002317080_000010_E5:4147","E5:4147","0002317080","000010","0002317080","000010","2019-08-13","2019-08-13","[2019-08-13]","Completed","true","E5:0000166730","E5:0000166730","CASE","Material Science","MS","CC00","BES","BES","E5:000000000012638601","MDA000009080","E5:K010",,"E5:KE01","E5:0000166730_MDA000009080_2019-08-13_E5:4147","35.0000","35.0000","KG","21.3400","21.3400","KES","2450.0000","2450.0000","4.3400","0.0000","0.6097","70.0000","498.4000","0.0000","0.2034","0.2461","0.0000","0.0000","EMEA"
"0002324715_000010_E5:4147","E5:4147","0002324715","000010","0002324715","000010","2019-08-26","2019-08-27","[2019-08-27]","Completed","true","E5:0000161044","E5:0000161044","CASE","Material Science","MS","CC00","BES","BES","E5:000000000012638601","MDA000009080","E5:K018",,"E5:KE01","E5:0000161044_MDA000009080_2019-08-26_E5:4147","35.0000","35.0000","KG","21.9500","21.9500","KES","2520.0000","2520.0000","4.9500","0.0000","0.6271","72.0000","568.4000","0.0000","0.2255","0.2442","0.0000","0.0000","EMEA"
"0002344460_000020_E5:4147","E5:4147","0002344460","000020","0002344460","000020","2019-09-20","2019-09-21","[2019-09-21]","Completed","true","E5:0000161145","E5:0000161145","CASE","Material Science","MS","CC00","BES","BES","E5:000000000012638601","MDA000009080","E5:K010",,"E5:KE01","E5:0000161145_MDA000009080_2019-09-20_E5:4147","35.0000","35.0000","KG","21.4600","21.4600","KES","2450.0000","2450.0000","4.3700","0.0000","0.6131","70.0000","498.4000","0.0000","0.2036","0.2377","0.0000","0.0000","EMEA"
"0002348559_000040_E5:4147","E5:4147","0002348559","000040","0002348559","000040","2019-09-26","2019-09-26","[2019-09-26]","Completed","true","E5:0000161923","E5:0000161923","CASE","Material Science","MS","CC00","BES","BES","E5:000000000012638601","MDA000009080","E5:K012",,"E5:KE01","E5:0000161923_MDA000009080_2019-09-26_E5:4147","35.0000","35.0000","KG","22.0700","22.0700","KES","2520.0000","2520.0000","4.9800","0.0000","0.6306","72.0000","568.4000","0.0000","0.2256","0.2322","0.0000","0.0000","EMEA"
"0002352934_000090_E5:4147","E5:4147","0002352934","000090","0002352934","000090","2019-10-02","2019-10-03","[2019-10-03]","Completed","true","E5:0000161044","E5:0000161044","CASE","Material Science","MS","CC00","BES","BES","E5:000000000012638601","MDA000009080","E5:K018",,"E5:KE01","E5:0000161044_MDA000009080_2019-10-02_E5:4147","35.0000","35.0000","KG","22.0100","22.0100","KES","2520.0000","2520.0000","4.9600","0.0000","0.6289","72.0000","568.4000","0.0000","0.2254","0.2323","0.0000","0.0000","EMEA"
"0002353873_000020_E5:4147","E5:4147","0002353873","000020","0002353873","000020","2019-10-03","2019-10-04","[2019-10-04]","Completed","true","E5:0000161645","E5:0000161645","CASE","Material Science","MS","CC00","BES","BES","E5:000000000012638601","MDA000009080","E5:K012",,"E5:KE01","E5:0000161645_MDA000009080_2019-10-03_E5:4147","35.0000","35.0000","KG","22.0100","22.0100","KES","2520.0000","2520.0000","4.9600","0.0000","0.6289","72.0000","568.4000","0.0000","0.2254","0.2303","0.0000","0.0000","EMEA"
"0002358712_000040_E5:4147","E5:4147","0002358712","000040","0002358712","000040","2019-10-09","2019-10-09","[2019-10-09]","Completed","true","E5:0000160815","E5:0000160815","CASE","Material Science","MS","CC00","BES","BES","E5:000000000012638601","MDA000009080","E5:K010",,"E5:KE01","E5:0000160815_MDA000009080_2019-10-09_E5:4147","35.0000","35.0000","KG","22.0100","22.0100","KES","2520.0000","2520.0000","4.9600","0.0000","0.6289","72.0000","568.4000","0.0000","0.2254","0.2304","0.0000","0.0000","EMEA"
"0002358143_000020_E5:4147","E5:4147","0002358143","000020","0002358143","000020","2019-10-09","2019-10-09","[2019-10-09]","Completed","true","E5:0000163200","E5:0000163200","CASE","Material Science","MS","CC00","BES","BES","E5:000000000012638601","MDA000009080","E5:K012",,"E5:KE01","E5:0000163200_MDA000009080_2019-10-09_E5:4147","35.0000","35.0000","KG","22.0100","22.0100","KES","2520.0000","2520.0000","4.9600","0.0000","0.6289","72.0000","568.4000","0.0000","0.2254","0.2304","0.0000","0.0000","EMEA"
"0002371932_000010_E5:4147","E5:4147","0002371932","000010","0002371932","000010","2019-10-28","2019-10-28","[2019-10-28]","Completed","true","E5:0000166730","E5:0000166730","CASE","Material Science","MS","CC00","BES","BES","E5:000000000012638601","MDA000009080","E5:K010",,"E5:KE01","E5:0000166730_MDA000009080_2019-10-28_E5:4147","35.0000","35.0000","KG","22.0100","22.0100","KES","2520.0000","2520.0000","7.1900","0.0000","0.6289","72.0000","823.0400","0.0000","0.3267","0.2298","0.0000","0.0000","EMEA"
"0002376193_000030_E5:4147","E5:4147","0002376193","000030","0002376193","000030","2019-11-01","2019-11-01","[2019-11-01]","Completed","true","E5:0000163901","E5:0000163901","CASE","Material Science","MS","CC00","BES","BES","E5:000000000012638601","MDA000009080","E5:K012",,"E5:KE01","E5:0000163901_MDA000009080_2019-11-01_E5:4147","35.0000","35.0000","KG","22.3100","22.3100","KES","2520.0000","2520.0000","7.3200","0.0000","0.6374","72.0000","827.1700","0.0000","0.3281","0.2348","0.0000","0.0000","EMEA"
"0002376871_000010_E5:4147","E5:4147","0002376871","000010","0002376871","000010","2019-11-04","2019-11-04","[2019-11-04]","Completed","true","E5:0000166759","E5:0000166759","CASE","Material Science","MS","CC00","BES","BES","E5:000000000012638601","MDA000009080","E5:K018",,"E5:KE01","E5:0000166759_MDA000009080_2019-11-04_E5:4147","35.0000","35.0000","KG","22.3100","22.3100","KES","2520.0000","2520.0000","7.3200","0.0000","0.6374","72.0000","827.1700","0.0000","0.3281","0.2377","0.0000","0.0000","EMEA"
"0002381135_000010_E5:4147","E5:4147","0002381135","000010","0002381135","000010","2019-11-08","2019-11-11","[2019-11-11]","Completed","true","E5:0000163200","E5:0000163200","CASE","Material Science","MS","CC00","BES","BES","E5:000000000012638601","MDA000009080","E5:K012",,"E5:KE01","E5:0000163200_MDA000009080_2019-11-08_E5:4147","35.0000","35.0000","KG","22.3100","22.3100","KES","2520.0000","2520.0000","7.3200","0.0000","0.6374","72.0000","827.1700","0.0000","0.3281","0.2426","0.0000","0.0000","EMEA"
"0002383155_000010_E5:4147","E5:4147","0002383155","000010","0002383155","000010","2019-11-12","2019-11-12","[2019-11-12]","Completed","true","E5:0000161044","E5:0000161044","CASE","Material Science","MS","CC00","BES","BES","E5:000000000012638601","MDA000009080","E5:K018",,"E5:KE01","E5:0000161044_MDA000009080_2019-11-12_E5:4147","35.0000","35.0000","KG","22.3100","22.3100","KES","2520.0000","2520.0000","7.3200","0.0000","0.6374","72.0000","827.1700","0.0000","0.3281","0.2476","0.0000","0.0000","EMEA"
"0002390971_000050_E5:4147","E5:4147","0002390971","000050","0002390971","000050","2019-11-21","2019-11-21","[2019-11-21]","Completed","true","E5:0000170586","E5:0000170586","CASE","Material Science","MS","CC00","BES","BES","E5:000000000012638601","MDA000009080","E5:K001",,"E5:KE01","E5:0000170586_MDA000009080_2019-11-21_E5:4147","35.0000","35.0000","KG","22.3100","22.3100","KES","2520.0000","2520.0000","7.6100","0.0000","0.6374","72.0000","859.3300","0.0000","0.3411","0.2531","0.0000","0.0000","EMEA"
"0002398219_000020_E5:4147","E5:4147","0002398219","000020","0002398219","000020","2019-12-02","2019-12-02","[2019-12-02]","Completed","true","E5:0000163275","E5:0000163275","CASE","Material Science","MS","CC00","BES","BES","E5:000000000012638601","MDA000009080","E5:K012",,"E5:KE01","E5:0000163275_MDA000009080_2019-12-02_E5:4147","35.0000","35.0000","KG","22.3100","22.3100","KES","2520.0000","2520.0000","7.6100","0.0000","0.6374","72.0000","859.3300","0.0000","0.3411","0.2597","0.0000","0.0000","EMEA"
"0002397693_000020_E5:4147","E5:4147","0002397693","000020","0002397693","000020","2019-12-02","2019-12-05","[2019-12-05]","Completed","true","E5:0000166759","E5:0000166759","CASE","Material Science","MS","CC00","BES","BES","E5:000000000012638601","MDA000009080","E5:K018",,"E5:KE01","E5:0000166759_MDA000009080_2019-12-02_E5:4147","35.0000","35.0000","KG","22.3100","22.3100","KES","2520.0000","2520.0000","7.6100","0.0000","0.6374","72.0000","859.3300","0.0000","0.3411","0.2652","0.0000","0.0000","EMEA"
"0002399347_000020_E5:4147","E5:4147","0002399347","000020","0002399347","000020","2019-12-03","2019-12-04","[2019-12-04]","Completed","true","E5:0000161044","E5:0000161044","CASE","Material Science","MS","CC00","BES","BES","E5:000000000012638601","MDA000009080","E5:K018",,"E5:KE01","E5:0000161044_MDA000009080_2019-12-03_E5:4147","35.0000","35.0000","KG","22.3100","22.3100","KES","2520.0000","2520.0000","7.6100","0.0000","0.6374","72.0000","859.3300","0.0000","0.3411","0.2698","0.0000","0.0000","EMEA"
"0002410302_000030_E5:4147","E5:4147","0002410302","000030","0002410302","000030","2019-12-18","2019-12-18","[2019-12-18]","Completed","true","E5:0000161645","E5:0000161645","CASE","Material Science","MS","CC00","BES","BES","E5:000000000012638601","MDA000009080","E5:K012",,"E5:KE01","E5:0000161645_MDA000009080_2019-12-18_E5:4147","35.0000","35.0000","KG","22.3100","22.3100","KES","2520.0000","2520.0000","7.6100","0.0000","0.6374","72.0000","859.3300","0.0000","0.3411","0.2753","0.0000","0.0000","EMEA"
"0002412613_000010_E5:4147","E5:4147","0002412613","000010","0002412613","000010","2019-12-21","2019-12-21","[2019-12-21]","Completed","true","E5:0000160815","E5:0000160815","CASE","Material Science","MS","CC00","BES","BES","E5:000000000012638601","MDA000009080","E5:K010",,"E5:KE01","E5:0000160815_MDA000009080_2019-12-21_E5:4147","35.0000","35.0000","KG","22.3100","22.3100","KES","2520.0000","2520.0000","7.6100","0.0000","0.6374","72.0000","859.3300","0.0000","0.3411","0.2808","0.0000","0.0000","EMEA"
"0002417058_000020_E5:4147","E5:4147","0002417058","000020","0002417058","000020","2020-01-06","2020-01-06","[2020-01-06]","Completed","true","E5:0000170174","E5:0000170174","CASE","Material Science","MS","CC00","BES","BES","E5:000000000012638601","MDA000009080","E5:K012",,"E5:KE01","E5:0000170174_MDA000009080_2020-01-06_E5:4147","35.0000","35.0000","KG","22.4800","22.4800","KES","2520.0000","2520.0000","7.6600","0.0000","0.6423","72.0000","859.3300","0.0000","0.3407","0.2863","0.0000","0.0000","EMEA"
"0002417197_000020_E5:4147","E5:4147","0002417197","000020","0002417197","000020","2020-01-06","2020-01-06","[2020-01-06]","Completed","true","E5:0000166759","E5:0000166759","CASE","Material Science","MS","CC00","BES","BES","E5:000000000012638601","MDA000009080","E5:K018",,"E5:KE01","E5:0000166759_MDA000009080_2020-01-06_E5:4147","35.0000","35.0000","KG","22.4800","22.4800","KES","2520.0000","2520.0000","7.6600","0.0000","0.6423","72.0000","859.3300","0.0000","0.3407","0.2918","0.0000","0.0000","EMEA"
"0002425863_000020_E5:4147","E5:4147","0002425863","000020","0002425863","000020","2020-01-15","2020-01-15","[2020-01-15]","Completed","true","E5:0000172305","E5:0000172305","CASE","Material Science","MS","CC00","BES","BES","E5:000000000012638601","MDA000009080","E5:K001",,"E5:KE01","E5:0000172305_MDA000009080_2020-01-15_E5:4147","35.0000","35.0000","KG","22.4800","22.4800","KES","2520.0000","2520.0000","7.6600","0.0000","0.6423","72.0000","859.3300","0.0000","0.3407","0.2983","0.0000","0.0000","EMEA"
"0002429305_000060_E5:4147","E5:4147","0002429305","000060","0002429305","000060","2020-01-21","2020-01-21","[2020-01-21]","Completed","true","E5:0000163611","E5:0000163611","CASE","Material Science","MS","CC00","BES","BES","E5:000000000012638601","MDA000009080","E5:K010",,"E5:KE01","E5:0000163611_MDA000009080_2020-01-21_E5:4147","35.0000","35.0000","KG","22.4800","22.4800","KES","2520.0000","2520.0000","7.6600","0.0000","0.6423","72.0000","859.3300","0.0000","0.3407","0.3038","0.0000","0.0000","EMEA"
